Dx,Dy,Dz
-3.5472,-0.26693,1.8292
-3.0408,-1.5179,0.096441
1.4226,3.4604,1.4147
-2.5844,-2.6082,1.5868
-1.8153,2.0999,-2.8801
0.29175,1.8161,2.8595
-2.6201,-0.016731,-2.1667
-1.5501,-1.0345,-2.8437
2.9835,1.0664,1.2335
2.0842,2.6608,0.36932
-1.7763,-3.2782,1.4485
-2.5855,-3.043,0.23558
2.4661,2.2687,2.1843
1.9661,-2.0913,-2.7858
0.55902,-3.5124,1.8304
0.20606,3.3925,0.092142
2.2868,-2.9583,1.421
-0.96311,3.5446,1.5837
2.7307,0.51691,-2.8768
1.4236,-1.1534,2.8641
1.2959,2.2756,-2.1685
-0.1177,1.858,-2.845
-0.56439,-3.1159,1.238
1.2587,-3.1364,0.37234
-1.9515,3.1785,1.4451
-1.3424,3.761,0.23076
0.73019,-3.2682,2.1876
-2.794,-0.66055,-2.7852
-3.3234,1.2756,1.8243
2.8371,-1.8713,0.095661
-3.7072,-0.49272,1.419
3.5499,-0.93419,1.5891
-0.91426,-2.6264,-2.8751
-1.7152,-0.64805,2.8632
1.3215,-2.2651,-2.164
1.6687,-0.8247,-2.8452
-2.4171,2.0485,1.2333
-3.3456,0.4783,0.37173
3.7276,0.10871,1.4468
3.9266,-0.7266,0.23271
-3.1955,1.0023,2.1873
0.82589,2.7497,-2.7852
2.764,2.2433,1.8242
-2.4191,-2.3872,0.096327
0.2842,3.7301,1.4161
-1.6552,-3.2766,1.5887
-2.3747,1.4419,-2.8778
-0.28257,1.8165,2.8602
-2.4879,-0.8201,-2.1674
-1.154,-1.4635,-2.8437
2.5023,1.9448,1.2314
1.1586,3.1752,0.36862
-0.6769,-3.6661,1.4496
-1.5193,-3.6927,0.23571
1.6458,2.9182,2.1852
2.5158,-1.3812,-2.7862
1.6189,-3.1666,1.8307
-0.84598,3.2918,0.092136
3.0866,-2.1103,1.421
-2.0128,3.0737,1.5815
2.4411,1.3396,-2.8717
1.7149,-0.66408,2.8598
0.52766,2.5629,-2.1709
-0.68192,1.7259,-2.8489
0.42889,-3.1368,1.2396
2.166,-2.5941,0.37275
-2.8412,2.417,1.4443
-2.4428,3.159,0.23055
1.7092,-2.8782,2.1896
-2.4549,-1.4887,-2.7852
-3.5562,0.17781,1.8226
3.2757,-0.90574,0.095605
-3.3725,-1.6163,1.4192
3.6641,0.19914,1.5921
-0.059678,-2.781,-2.8745
-1.4303,-1.1493,2.8624
1.9576,-1.7426,-2.1659
1.8422,-0.2776,-2.8441
-2.9316,1.2012,1.234
-3.3297,-0.57872,0.37155
3.5125,1.2506,1.4485
3.958,0.5295,0.23282
-3.3491,-0.033403,2.1869
-0.063169,2.8663,-2.7893
1.937,2.9861,1.8253
2.3809,2.4253,0.09651
-0.21781,-3.7354,1.4141
1.5963,3.3059,1.5884
2.4012,-1.3931,-2.8798
0.31468,-1.809,2.8616
2.4718,0.86993,-2.1665
1.1283,1.4809,-2.845
-2.4682,-1.9876,1.2318
-1.1053,-3.194,0.36983
0.61191,3.6774,1.45
1.4567,3.7179,0.23605
-1.5898,-2.9521,2.1812
-2.5391,1.3411,-2.7847
